,title,company,description,location
0, Data Science Architect , Reliable Software Resources ,"Responsibilities: Provides vision, expertise and technology-based solutions in long range planning in the area of systems  architecture. Serves as resident expert to conducts studies, investigate the latest technology developments  and analyze impact of current and future system requirements. Recommends technology, drafts and presents  proposed corporate policies, drafts and presents proposed procedures, practices and standards. Ensures that  new initiatives conform to the firm's long term strat"," Reliable Software Resources  Pittsburgh, PA, USA"
1, Full Stack Engineer with Data Science ," DEEGIT, INC. ","A full stack engineer with deep understanding of data science and software engineering practices.   Job Responsibilities: Strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-server architecture.Design and implement Machine learning models and data ingestion pipelines.Develop and support a platform that enables data scientists to rapidly develop, train, and experiment with machine learning models.E"," DEEGIT, INC.  Remote"
2, Principal-Pred/Pres Analytics - Data science , Ampcus Inc ,"Hello,   Greetings from Ampcus Inc. Ampcus is a technology services consulting company. Ampcus Inc. is a Global leader in end-to-end IT Business Solutions and Services with latest technologies. We are listed among the top 50 fastest growing companies in USA. We work closely with our clients for Talent acquisition.  We are looking for an Principal-Pred/Pres Analytics. This is 6+ months Position. Your resume is a very good match for this opportunity, please review the job description below and ple"," Ampcus Inc  Alpharetta, GA, USA"
3, Data Science Director , Blend360 ,"Edit  Dynamic, Fast-growing, Entrepreneurial Data Science Solutions Company seeking seasoned Data Scientists! If you’ve got entrepreneurial spirit and passion, are driven by results, and want to be a part of significant growth, we’re looking for you!  BLEND360 is an award-winning, new breed Data Science Solutions Company focused on powering exceptional results to our Fortune 500 clients. We are a  growing company—born at the intersection of advanced analytics, data and technology. BLEND360 it is", Blend360  Remote
4, Director of Data Science (3708) , Flexion Inc ,"Flexion is currently seeking a Director of Data Scientist for a direct hire/full-time employee role with our client in Minneapolis, MN.  As the Director of Data Science, you will play a key role in unlocking our client's vision - transforming the measure of marketing success - through the development and advancement of measurement methodologies.  You will lead the development of additional analytics solutions, data science tools and application of predictive analytics to meet the needs of our cl"," Flexion Inc  Minneapolis, MN, USA"
5," Manager, Data Science & Analytics "," Nutrien Ag Solutions, Inc ","Manager, Data Science & Analytics – Remote, US Nutrien Ag Solutions is the retail division of Nutrien™, the largest crop inputs company in the world. As part of our collective mission of Feeding the Future, Nutrien Ag Solutions provides full-acre solutions through our trusted crop consultants at more than 2, locations in North America, South America, Europe and Australia.  Working at Nutrien Ag Solutions will provide you an opportunity to help us Feed the Future, and grow your career.  What you "," Nutrien Ag Solutions, Inc  Remote"
6, E-Discovery Data Science Advisor ," Paul, Weiss, Rifkind, Wharton & Garrison LLP ","The E-Discovery Data Science Advisor uses advanced data science tools and techniques to enable the discovery of insights from client data and enable the analysis, review, and production of structured data throughout the e-discovery process. The E-Discovery Data Science Advisor will also use these techniques and tools to support the enhancement and automation of e discovery processes. Consult with case teams on effective data modeling, mining and other data analyses as related to e-discovery and "," Paul, Weiss, Rifkind, Wharton & Garrison LLP  New York, NY, USA"
7, Data Science Lead ," Republic Services, Inc. ","The Data Analytics Lead serves as the primary liaison between leadership and data scientists to leverage information adding value to the organization's workforce. This position works with all levels of HR staff as well as leadership across the organization in assessing needs for various business functions and assists management in identifying, analyzing and recommending data products that add business value.  Projects consist of small ad-hoc information requests to large cross functional data in"," Republic Services, Inc.  Scottsdale, AZ, USA"
8," Full Stack Engineer - (Python, Data Science and Machine Learning) ", KLNtek ,"Hello Please check the below position and reply back with the below details and updated resume if you are comfortable.   Job Title: Full Stack Engineer - (Python, Data Science and ML) Location: No location constrain (across US need to work in PST hours) Duration: Long Term    Key Skills: Python, Machine Learning and Data Science. Job Details: Strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-ser", KLNtek  Remote
9," Data Scientist Lead (data science, Python ,PowerBI or Tableau, RETAIL EXPERIENCE) ", SigmaWay ,"Apply by Email/Direct Application at  Role: Data Scientist (Lead) Location: Remote Interview Process: 3-4 Steps Must Haves: Minimum of 4 years of data science experience (ideally 5+ but will consider 4, NO LESS)Python or RPowerBI or TableauRETAIL EXPERIENCE will not consider anyone without it  JD: You will have an opportunity to directly influence our Consumer product roadmaps and work closely with business leaders across e.l.f. Beauty. You will be responsible for following to fuel our digital g", SigmaWay  Remote
